tim,utakmice,pobede,remiji,porazi,bodovi,dati_golovi,primljeni_golovi,gol_razlika,sutevi,sutevi_u_okvir,korneri,fauli,zuti_kartoni,crveni_kartoni,sezona,vrednost
Fulham,38,11.0,16.0,11.0,49.0,49.0,43.0,6.0,456.0,250.0,192.0,445.0,51.0,1.0,2010/11,109.55
Liverpool,38,17.0,7.0,14.0,58.0,59.0,44.0,15.0,475.0,268.0,214.0,436.0,63.0,2.0,2010/11,339.20
Man City,38,21.0,8.0,9.0,71.0,60.0,33.0,27.0,477.0,276.0,228.0,454.0,74.0,5.0,2010/11,404.18
Man United,38,23.0,11.0,4.0,80.0,78.0,37.0,41.0,543.0,310.0,245.0,396.0,58.0,3.0,2010/11,388.00
Newcastle,38,11.0,13.0,14.0,46.0,56.0,57.0,-1.0,434.0,252.0,203.0,440.0,75.0,2.0,2010/11,119.48
Stoke,38,13.0,7.0,18.0,46.0,46.0,48.0,-2.0,410.0,204.0,191.0,417.0,70.0,1.0,2010/11,94.45
Sunderland,38,12.0,11.0,15.0,47.0,45.0,56.0,-11.0,450.0,230.0,180.0,403.0,59.0,5.0,2010/11,149.33
Tottenham,38,16.0,14.0,8.0,62.0,55.0,46.0,9.0,560.0,321.0,256.0,361.0,51.0,2.0,2010/11,307.08
West Brom,38,12.0,11.0,15.0,47.0,56.0,71.0,-15.0,523.0,287.0,189.0,391.0,54.0,7.0,2010/11,86.88
Wigan,38,9.0,15.0,14.0,42.0,40.0,61.0,-21.0,450.0,253.0,169.0,461.0,68.0,4.0,2010/11,80.50
Wolves,38,11.0,7.0,20.0,40.0,46.0,66.0,-20.0,371.0,207.0,242.0,438.0,63.0,2.0,2010/11,83.55
Arsenal,38,21.0,7.0,10.0,70.0,74.0,49.0,25.0,585.0,352.0,263.0,374.0,67.0,4.0,2011/12,362.43
Aston Villa,38,7.0,17.0,14.0,38.0,37.0,53.0,-16.0,404.0,203.0,218.0,393.0,70.0,2.0,2011/12,123.50
Chelsea,38,18.0,10.0,10.0,64.0,65.0,46.0,19.0,616.0,334.0,254.0,403.0,75.0,4.0,2011/12,375.50
Everton,38,15.0,11.0,12.0,56.0,50.0,40.0,10.0,474.0,253.0,179.0,449.0,61.0,1.0,2011/12,169.95
Fulham,38,14.0,10.0,14.0,52.0,48.0,51.0,-3.0,489.0,301.0,188.0,350.0,54.0,0.0,2011/12,100.00
Liverpool,38,14.0,10.0,14.0,52.0,47.0,40.0,7.0,612.0,330.0,308.0,366.0,56.0,5.0,2011/12,236.90
Man City,38,28.0,5.0,5.0,89.0,93.0,29.0,64.0,666.0,399.0,269.0,384.0,56.0,5.0,2011/12,498.60
Man United,38,28.0,5.0,5.0,89.0,89.0,33.0,56.0,592.0,369.0,279.0,367.0,51.0,1.0,2011/12,404.10
Newcastle,38,19.0,8.0,11.0,65.0,56.0,51.0,5.0,451.0,255.0,172.0,387.0,67.0,2.0,2011/12,161.70
Norwich,38,12.0,11.0,15.0,47.0,52.0,66.0,-14.0,474.0,254.0,167.0,384.0,59.0,3.0,2011/12,58.75
QPR,38,10.0,7.0,21.0,37.0,43.0,66.0,-23.0,494.0,264.0,195.0,389.0,57.0,9.0,2011/12,81.38
Stoke,38,11.0,12.0,15.0,45.0,36.0,53.0,-17.0,340.0,151.0,165.0,423.0,61.0,2.0,2011/12,81.65
Sunderland,38,11.0,12.0,15.0,45.0,45.0,46.0,-1.0,417.0,233.0,179.0,389.0,60.0,3.0,2011/12,126.50
Swansea,38,12.0,11.0,15.0,47.0,44.0,51.0,-7.0,420.0,241.0,204.0,309.0,40.0,2.0,2011/12,75.60
Tottenham,38,20.0,9.0,9.0,69.0,66.0,41.0,25.0,635.0,373.0,283.0,340.0,45.0,3.0,2011/12,323.50
West Brom,38,13.0,8.0,17.0,47.0,45.0,52.0,-7.0,470.0,264.0,212.0,385.0,48.0,1.0,2011/12,69.55
Wigan,38,11.0,10.0,17.0,43.0,42.0,62.0,-20.0,456.0,258.0,209.0,447.0,68.0,3.0,2011/12,74.25
Arsenal,38,21.0,10.0,7.0,73.0,72.0,37.0,35.0,546.0,326.0,260.0,360.0,44.0,5.0,2012/13,296.90
Aston Villa,38,10.0,11.0,17.0,41.0,47.0,69.0,-22.0,393.0,225.0,178.0,428.0,74.0,3.0,2012/13,110.50
Chelsea,38,22.0,9.0,7.0,75.0,75.0,39.0,36.0,569.0,336.0,240.0,371.0,52.0,3.0,2012/13,454.25
Everton,38,16.0,15.0,7.0,63.0,55.0,40.0,15.0,561.0,321.0,257.0,413.0,60.0,3.0,2012/13,139.75
Fulham,38,11.0,10.0,17.0,43.0,50.0,60.0,-10.0,425.0,244.0,176.0,384.0,48.0,3.0,2012/13,109.85
Liverpool,38,16.0,13.0,9.0,61.0,71.0,43.0,28.0,669.0,385.0,285.0,372.0,54.0,2.0,2012/13,276.10
Man City,38,23.0,9.0,6.0,78.0,66.0,34.0,32.0,601.0,352.0,269.0,443.0,63.0,3.0,2012/13,502.10
Man United,38,28.0,5.0,5.0,89.0,86.0,43.0,43.0,512.0,299.0,218.0,361.0,57.0,1.0,2012/13,457.50
Newcastle,38,11.0,8.0,19.0,41.0,45.0,68.0,-23.0,471.0,252.0,203.0,437.0,72.0,4.0,2012/13,200.25
Norwich,38,10.0,14.0,14.0,44.0,41.0,58.0,-17.0,372.0,203.0,173.0,391.0,60.0,1.0,2012/13,73.25
Southampton,38,9.0,14.0,15.0,41.0,49.0,60.0,-11.0,473.0,254.0,209.0,382.0,43.0,2.0,2012/13,83.05
Stoke,38,9.0,15.0,14.0,42.0,34.0,45.0,-11.0,338.0,165.0,163.0,443.0,80.0,4.0,2012/13,104.05
Sunderland,38,9.0,12.0,17.0,39.0,41.0,54.0,-13.0,378.0,221.0,179.0,427.0,62.0,3.0,2012/13,133.90
Swansea,38,11.0,13.0,14.0,46.0,47.0,51.0,-4.0,460.0,262.0,194.0,387.0,58.0,2.0,2012/13,102.25
Tottenham,38,21.0,9.0,8.0,72.0,66.0,46.0,20.0,617.0,381.0,261.0,342.0,53.0,2.0,2012/13,296.80
West Brom,38,14.0,7.0,17.0,49.0,53.0,57.0,-4.0,460.0,253.0,202.0,408.0,62.0,4.0,2012/13,93.50
West Ham,38,12.0,10.0,16.0,46.0,45.0,53.0,-8.0,439.0,250.0,213.0,445.0,74.0,1.0,2012/13,103.00
Arsenal,38,24.0,7.0,7.0,79.0,68.0,41.0,27.0,524.0,210.0,211.0,348.0,53.0,4.0,2013/14,385.75
Aston Villa,38,10.0,8.0,20.0,38.0,39.0,61.0,-22.0,430.0,134.0,163.0,484.0,78.0,0.0,2013/14,109.50
Chelsea,38,25.0,7.0,6.0,82.0,71.0,27.0,44.0,693.0,228.0,249.0,420.0,56.0,3.0,2013/14,584.20
Crystal Palace,38,13.0,6.0,19.0,45.0,33.0,48.0,-15.0,414.0,143.0,172.0,404.0,57.0,2.0,2013/14,68.70
Everton,38,21.0,9.0,8.0,72.0,61.0,39.0,22.0,560.0,195.0,251.0,365.0,54.0,1.0,2013/14,210.00
Hull,38,10.0,7.0,21.0,37.0,38.0,53.0,-15.0,425.0,129.0,160.0,421.0,53.0,4.0,2013/14,68.15
Liverpool,38,26.0,6.0,6.0,84.0,101.0,50.0,51.0,650.0,259.0,224.0,410.0,54.0,1.0,2013/14,315.75
Man City,38,27.0,5.0,6.0,86.0,102.0,37.0,65.0,673.0,238.0,283.0,394.0,72.0,1.0,2013/14,455.80
Man United,38,19.0,7.0,12.0,64.0,64.0,43.0,21.0,525.0,181.0,216.0,399.0,66.0,3.0,2013/14,402.55
Newcastle,38,15.0,4.0,19.0,49.0,43.0,59.0,-16.0,579.0,184.0,190.0,412.0,52.0,6.0,2013/14,172.30
Southampton,38,15.0,11.0,12.0,56.0,54.0,46.0,8.0,531.0,177.0,211.0,443.0,60.0,0.0,2013/14,131.50
Stoke,38,13.0,11.0,14.0,50.0,45.0,52.0,-7.0,425.0,139.0,164.0,485.0,72.0,5.0,2013/14,104.70
Sunderland,38,10.0,8.0,20.0,38.0,41.0,60.0,-19.0,490.0,137.0,188.0,444.0,68.0,7.0,2013/14,122.00
Swansea,38,11.0,9.0,18.0,42.0,54.0,54.0,0.0,494.0,163.0,223.0,373.0,55.0,3.0,2013/14,128.93
Tottenham,38,21.0,6.0,11.0,69.0,55.0,51.0,4.0,584.0,189.0,230.0,403.0,66.0,4.0,2013/14,288.95
West Brom,38,7.0,15.0,16.0,36.0,43.0,59.0,-16.0,485.0,145.0,187.0,426.0,67.0,0.0,2013/14,90.80
West Ham,38,11.0,7.0,20.0,40.0,40.0,51.0,-11.0,418.0,119.0,184.0,402.0,61.0,5.0,2013/14,109.75
Arsenal,38,22.0,9.0,7.0,75.0,71.0,36.0,35.0,612.0,228.0,254.0,377.0,68.0,2.0,2014/15,414.75
Aston Villa,38,10.0,8.0,20.0,38.0,31.0,57.0,-26.0,414.0,127.0,171.0,400.0,70.0,7.0,2014/15,114.25
Chelsea,38,26.0,9.0,3.0,87.0,73.0,32.0,41.0,563.0,210.0,226.0,382.0,77.0,4.0,2014/15,557.25
Crystal Palace,38,13.0,9.0,16.0,48.0,47.0,51.0,-4.0,438.0,139.0,209.0,527.0,63.0,4.0,2014/15,97.25
Everton,38,12.0,11.0,15.0,47.0,48.0,50.0,-2.0,484.0,166.0,194.0,388.0,66.0,2.0,2014/15,182.85
Leicester,38,11.0,8.0,19.0,41.0,46.0,55.0,-9.0,457.0,137.0,211.0,457.0,49.0,4.0,2014/15,66.70
Liverpool,38,18.0,8.0,12.0,62.0,52.0,48.0,4.0,590.0,194.0,198.0,385.0,66.0,3.0,2014/15,324.85
Man City,38,24.0,7.0,7.0,79.0,83.0,38.0,45.0,668.0,228.0,273.0,445.0,77.0,2.0,2014/15,448.25
Man United,38,20.0,10.0,8.0,70.0,62.0,37.0,25.0,509.0,179.0,213.0,453.0,64.0,5.0,2014/15,505.40
Newcastle,38,10.0,9.0,19.0,39.0,40.0,63.0,-23.0,467.0,143.0,222.0,433.0,66.0,7.0,2014/15,140.00
Southampton,38,18.0,6.0,14.0,60.0,54.0,33.0,21.0,506.0,170.0,209.0,468.0,57.0,3.0,2014/15,210.25
Stoke,38,15.0,9.0,14.0,54.0,48.0,45.0,3.0,501.0,136.0,192.0,486.0,82.0,1.0,2014/15,110.50
Sunderland,38,7.0,17.0,14.0,38.0,31.0,53.0,-22.0,404.0,129.0,185.0,435.0,94.0,2.0,2014/15,91.00
Swansea,38,16.0,8.0,14.0,56.0,46.0,49.0,-3.0,422.0,147.0,151.0,398.0,48.0,5.0,2014/15,130.75
Tottenham,38,19.0,7.0,12.0,64.0,58.0,53.0,5.0,524.0,172.0,224.0,441.0,79.0,4.0,2014/15,304.15
West Brom,38,11.0,11.0,16.0,44.0,38.0,51.0,-13.0,411.0,130.0,171.0,423.0,64.0,3.0,2014/15,95.95
West Ham,38,12.0,11.0,15.0,47.0,44.0,47.0,-3.0,485.0,152.0,241.0,420.0,64.0,2.0,2014/15,135.90
Arsenal,38,20.0,11.0,7.0,71.0,65.0,36.0,29.0,572.0,210.0,227.0,350.0,39.0,4.0,2015/16,457.85
Bournemouth,38,11.0,9.0,18.0,42.0,45.0,67.0,-22.0,463.0,144.0,221.0,362.0,52.0,1.0,2015/16,99.90
Chelsea,38,12.0,14.0,12.0,50.0,59.0,53.0,6.0,526.0,173.0,240.0,408.0,58.0,6.0,2015/16,553.50
Crystal Palace,38,11.0,9.0,18.0,42.0,39.0,51.0,-12.0,466.0,152.0,219.0,465.0,60.0,1.0,2015/16,135.70
Everton,38,11.0,14.0,13.0,47.0,59.0,55.0,4.0,492.0,175.0,218.0,315.0,44.0,5.0,2015/16,249.85
Leicester,38,23.0,12.0,3.0,81.0,68.0,36.0,32.0,523.0,181.0,197.0,405.0,48.0,3.0,2015/16,161.10
Liverpool,38,16.0,12.0,10.0,60.0,63.0,50.0,13.0,629.0,203.0,265.0,422.0,61.0,3.0,2015/16,375.25
Man City,38,19.0,9.0,10.0,66.0,71.0,41.0,30.0,612.0,210.0,257.0,409.0,61.0,0.0,2015/16,499.35
Man United,38,19.0,9.0,10.0,66.0,49.0,35.0,14.0,430.0,143.0,228.0,472.0,65.0,1.0,2015/16,439.85
Southampton,38,18.0,9.0,11.0,63.0,59.0,41.0,18.0,519.0,169.0,224.0,416.0,57.0,6.0,2015/16,225.50
Stoke,38,14.0,9.0,15.0,51.0,41.0,55.0,-14.0,418.0,130.0,153.0,419.0,51.0,4.0,2015/16,147.00
Sunderland,38,9.0,12.0,17.0,39.0,48.0,62.0,-14.0,439.0,143.0,160.0,396.0,62.0,2.0,2015/16,111.25
Swansea,38,12.0,11.0,15.0,47.0,42.0,52.0,-10.0,442.0,136.0,163.0,392.0,62.0,1.0,2015/16,145.80
Tottenham,38,19.0,13.0,6.0,70.0,69.0,35.0,34.0,661.0,250.0,254.0,452.0,72.0,0.0,2015/16,371.85
Watford,38,12.0,9.0,17.0,45.0,40.0,50.0,-10.0,445.0,136.0,166.0,460.0,74.0,3.0,2015/16,137.00
